,正位,逆位
Fehu,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Fehu」的【正位】喔～\n\n【符文能量解讀】\nFehu 象徵著 財富、繁榮、機會的開端，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Fehu」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天是啟動豐盛能量的好時機，試著對資源表達感謝。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Fehu」的【逆位】喔～\n\n【符文能量解讀】\nFehu 象徵著 失控的欲望、貪婪、匱乏意識，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Fehu」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n當你越執著擁有，反而越容易失去。放手，才有空間進來。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Uruz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Uruz」的【正位】喔～\n\n【符文能量解讀】\nUruz 象徵著 力量、健康、新生的勇氣，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Uruz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n請相信自己的力量，當你挺起胸膛，整個世界都會為你讓路。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Uruz」的【逆位】喔～\n\n【符文能量解讀】\nUruz 象徵著 機會錯失、精力耗盡，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Uruz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n休息也是一種成長，允許自己慢下來，才能重新出發。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Thurisaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Thurisaz」的【正位】喔～\n\n【符文能量解讀】\nThurisaz 象徵著 保護、挑戰、重大決定前的覺察，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Thurisaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n放下衝動，用智慧穿越風暴，你比想像中更穩定。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Thurisaz」的【逆位】喔～\n\n【符文能量解讀】\nThurisaz 象徵著 阻礙、攻擊、過度防衛，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Thurisaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n試著問自己：你是在守護，還是在逃避？ 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Ansuz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ansuz」的【正位】喔～\n\n【符文能量解讀】\nAnsuz 象徵著 智慧、啟示、溝通與靈感，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ansuz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你的話語充滿力量，今天適合表達、寫作或與宇宙對話。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ansuz」的【逆位】喔～\n\n【符文能量解讀】\nAnsuz 象徵著 誤解、謊言、信息干擾，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ansuz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n沉默有時是最清晰的答案，傾聽比說話更重要。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Raido,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Raido」的【正位】喔～\n\n【符文能量解讀】\nRaido 象徵著 旅行、內在旅程、正確的道路，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Raido」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n踏出第一步，一切就在流動中轉變。信任過程。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Raido」的【逆位】喔～\n\n【符文能量解讀】\nRaido 象徵著 迷失方向、過度控制，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Raido」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n路可能彎曲，但心不可以迷失。回到你的中心。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Kenaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Kenaz」的【正位】喔～\n\n【符文能量解讀】\nKenaz 象徵著 創造力、洞察力、點燃內在之火，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Kenaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天適合開始新計畫或學習，靈感正準備降臨。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Kenaz」的【逆位】喔～\n\n【符文能量解讀】\nKenaz 象徵著 封閉、創意枯竭、情緒壓抑，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Kenaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n暫時熄燈沒關係，重拾熱情前，先照顧內在的陰影。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Gebo,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Gebo」的【正位】喔～\n\n【符文能量解讀】\nGebo 象徵著 平衡的交換、愛與關係，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Gebo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n送出愛，也允許自己接收。關係是雙向能量流動。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Gebo」的【逆位】喔～\n\n【符文能量解讀】\nGebo 象徵著 失衡的付出、依賴、情感勒索，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Gebo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n真正的愛不是交換，而是互相成就。重新校準你的關係模式。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Wunjo,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Wunjo」的【正位】喔～\n\n【符文能量解讀】\nWunjo 象徵著 喜悅、和諧、達成目標，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Wunjo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你值得享受當下的幸福，別忘了慶祝每一小步的成功。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Wunjo」的【逆位】喔～\n\n【符文能量解讀】\nWunjo 象徵著 內在焦慮、幻滅、與快樂失聯，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Wunjo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n試著問問自己：你在追求什麼？是否遺忘了真正的快樂來源？ 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Hagalaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Hagalaz」的【正位】喔～\n\n【符文能量解讀】\nHagalaz 象徵著 突變、風暴、必要的破壞，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Hagalaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n接受混亂，它將帶來重建的機會。試著看見其中的轉機。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Hagalaz」的【逆位】喔～\n\n【符文能量解讀】\nHagalaz 象徵著 內在風暴、抗拒改變，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Hagalaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n當你執著不變，宇宙會更大力地推動你前進。學會放下控制。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Nauthiz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Nauthiz」的【正位】喔～\n\n【符文能量解讀】\nNauthiz 象徵著 限制、困境中的學習，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Nauthiz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n眼前的阻礙是一面鏡子，提醒你真正的渴望與成長之路。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Nauthiz」的【逆位】喔～\n\n【符文能量解讀】\nNauthiz 象徵著 壓抑、逃避、自我設限，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Nauthiz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n不要將責任推給命運，你有能力改寫現狀。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Isa,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Isa」的【正位】喔～\n\n【符文能量解讀】\nIsa 象徵著 靜止、凍結、內在等待，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Isa」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n有時沉靜是一種智慧。今天適合觀察，而非行動。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Isa」的【逆位】喔～\n\n【符文能量解讀】\nIsa 象徵著 停滯不前、情緒冰封，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Isa」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n長期壓抑可能讓你迷失自己，試著釋放凍結的情緒。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Jera,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Jera」的【正位】喔～\n\n【符文能量解讀】\nJera 象徵著 成果、豐收、因果循環，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Jera」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你所播種的一切正在成熟，耐心等候它綻放吧。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Jera」的【逆位】喔～\n\n【符文能量解讀】\nJera 象徵著 延遲、不穩定、結果未明，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Jera」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n時機未到，不代表未來沒有結果。繼續耕耘。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Eihwaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Eihwaz」的【正位】喔～\n\n【符文能量解讀】\nEihwaz 象徵著 轉化、保護、內在穩定力，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Eihwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你擁有跨越考驗的堅韌，不必懼怕挑戰。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Eihwaz」的【逆位】喔～\n\n【符文能量解讀】\nEihwaz 象徵著 自我設限、固執、能量封閉，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Eihwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n打開你的內心結界，讓新的可能進入。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Perthro,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Perthro」的【正位】喔～\n\n【符文能量解讀】\nPerthro 象徵著 命運、神祕揭示、潛意識探索，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Perthro」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天適合占卜、靜心與內在連結。答案藏在你心中。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Perthro」的【逆位】喔～\n\n【符文能量解讀】\nPerthro 象徵著 隱藏、命運扭曲、不願面對真相，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Perthro」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你正在逃避的是什麼？誠實是轉化的開始。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Algiz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Algiz」的【正位】喔～\n\n【符文能量解讀】\nAlgiz 象徵著 守護、直覺、神聖連結，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Algiz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你的靈性守護力量正在加強，信任你收到的直覺訊息。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Algiz」的【逆位】喔～\n\n【符文能量解讀】\nAlgiz 象徵著 能量漏洞、脆弱、防禦過當，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Algiz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n不要總是孤軍奮戰，適時向宇宙或他人請求協助。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Sowilo,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Sowilo」的【正位】喔～\n\n【符文能量解讀】\nSowilo 象徵著 勝利、光明、成功顯化，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Sowilo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n陽光正照進你的生命中，大膽地展現自己吧！ 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Sowilo」的【逆位】喔～\n\n【符文能量解讀】\nSowilo 象徵著 驕傲、自我膨脹、焦慮失控，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Sowilo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n溫柔地看見自己的陰影，才能真正成為光。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Tiwaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Tiwaz」的【正位】喔～\n\n【符文能量解讀】\nTiwaz 象徵著 正義、犧牲、精神戰士，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Tiwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n堅持真理與正道，即使不被理解，也值得敬佩。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Tiwaz」的【逆位】喔～\n\n【符文能量解讀】\nTiwaz 象徵著 失衡的爭鬥、內耗，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Tiwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n真正的勝利不是擊敗他人，而是平息內在戰場。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Berkano,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Berkano」的【正位】喔～\n\n【符文能量解讀】\nBerkano 象徵著 滋養、母性能量、新生命，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Berkano」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天適合照顧自己與他人，讓溫柔流動在每個角落。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Berkano」的【逆位】喔～\n\n【符文能量解讀】\nBerkano 象徵著 情緒失控、過度依附、照顧枯竭，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Berkano」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n學會界線，先照顧好自己，才能給出真實的關懷。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Ehwaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ehwaz」的【正位】喔～\n\n【符文能量解讀】\nEhwaz 象徵著 夥伴、協作、進展，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ehwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n和諧的關係是今日的禮物，信任彼此的節奏。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ehwaz」的【逆位】喔～\n\n【符文能量解讀】\nEhwaz 象徵著 誤解、合作受阻、信任裂痕，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ehwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n溝通是重建橋梁的開始，放下防備試著聆聽。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Mannaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Mannaz」的【正位】喔～\n\n【符文能量解讀】\nMannaz 象徵著 人性、自我覺察、與社群連結，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Mannaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你在這個世界是有位置的，與人連結也是療癒。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Mannaz」的【逆位】喔～\n\n【符文能量解讀】\nMannaz 象徵著 孤立、迷失自我、社交焦慮，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Mannaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你不需要迎合誰，只要做真實的自己。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Laguz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Laguz」的【正位】喔～\n\n【符文能量解讀】\nLaguz 象徵著 情感、潛意識、靈性之流，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Laguz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天適合靜心、夢境記錄或與內在直覺連結。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Laguz」的【逆位】喔～\n\n【符文能量解讀】\nLaguz 象徵著 情緒泛濫、迷惘、直覺阻塞，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Laguz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n給自己一個安靜的空間，重拾你內在的導航儀。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Ingwaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ingwaz」的【正位】喔～\n\n【符文能量解讀】\nIngwaz 象徵著 潛能、孕育、內在成長，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ingwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你正醞釀一個新的自己，靜待它綻放的那刻。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ingwaz」的【逆位】喔～\n\n【符文能量解讀】\nIngwaz 象徵著 能量無出口、壓抑潛能，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ingwaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n將你的想法或情感找地方釋放，它們正在尋求出口。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Dagaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Dagaz」的【正位】喔～\n\n【符文能量解讀】\nDagaz 象徵著 突破、覺醒、新曙光，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Dagaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n這是全新視角的開始，擁抱轉變與未知吧！ 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Dagaz」的【逆位】喔～\n\n【符文能量解讀】\nDagaz 象徵著 抗拒改變、固守舊模式，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Dagaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n新日已升起，請放手昨日的枷鎖。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Othala,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Othala」的【正位】喔～\n\n【符文能量解讀】\nOthala 象徵著 祖先智慧、家庭根基、傳承，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Othala」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n回到你的起點，你會找到屬於你的力量與方向。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Othala」的【逆位】喔～\n\n【符文能量解讀】\nOthala 象徵著 家族業力、陳舊模式束縛，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Othala」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n打破不再適合你的規則，你有權重建新世界。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
